antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"('anise',)","('soy sauce',)",0.013860369609856264,0.19661190965092404,0.01026694045174538,0.7407407407407407,3.767527318441156,0.007541826714283906,3.0987826342035785,0.7448984903695991
"('annatto',)","('fish sauce',)",0.021560574948665298,0.1450205338809035,0.011293634496919919,0.5238095238095238,3.61196797302992,0.008166908407085244,1.7954568788501026,0.7390775541352667
"('baking soda',)","('butter',)",0.060061601642710474,0.16196098562628336,0.030030800821355237,0.5,3.08716323296355,0.02030316462100865,1.6760780287474333,0.7192790824685964
"('baking soda',)","('egg',)",0.060061601642710474,0.26899383983572894,0.052874743326488706,0.8803418803418803,3.2727213414236314,0.036718542473932095,6.109122909944264,0.7388185139427232
"('baking soda',)","('flour',)",0.060061601642710474,0.17453798767967146,0.05184804928131417,0.8632478632478632,4.945902463549522,0.04136501819377743,6.036190965092399,0.848792252245432
"('vanilla',)","('baking soda',)",0.060061601642710474,0.060061601642710474,0.030800821355236138,0.5128205128205128,8.538242384396229,0.027193425363348497,1.9293472387333837,0.9392954669579464
"('baking soda',)","('vanilla',)",0.060061601642710474,0.060061601642710474,0.030800821355236138,0.5128205128205128,8.538242384396229,0.027193425363348497,1.9293472387333837,0.9392954669579464
"('bay leaf',)","('pork',)",0.08008213552361396,0.2589835728952772,0.044661190965092405,0.5576923076923078,2.153388732179615,0.023921233382103065,1.6753414873672,0.582242918719212
"('bay leaf',)","('vinegar',)",0.08008213552361396,0.12987679671457905,0.044661190965092405,0.5576923076923078,4.2940103374886,0.03426037972922263,1.967235068297474,0.8338977832512317
"('okra',)","('bean',)",0.028747433264887063,0.09650924024640657,0.020790554414784394,0.7232142857142857,7.493731003039513,0.018016161471355867,3.264224680400079,0.892203690653303
"('radish',)","('bean',)",0.018480492813141684,0.09650924024640657,0.010780287474332649,0.5833333333333334,6.044326241134752,0.008996749153557169,2.1683778234086244,0.8502689778840408
"('squash',)","('bean',)",0.023870636550308008,0.09650924024640657,0.012063655030800821,0.5053763440860215,5.236559139784946,0.009759918033132493,1.826622622980091,0.8288193531422561
"('bread',)","('egg',)",0.06647843942505134,0.26899383983572894,0.04260780287474333,0.6409266409266409,2.382681481918123,0.02472551218751186,2.035812854651034,0.6216297690072913
"('butter',)","('egg',)",0.16196098562628336,0.26899383983572894,0.0818788501026694,0.5055467511885896,1.8793989910598714,0.03831234267547614,1.478413099562997,0.558345134825042
"('celery',)","('carrot',)",0.025410677618069814,0.13680698151950718,0.014887063655030801,0.5858585858585859,4.28237345310516,0.01141070555173737,2.0842953373065556,0.7864693542088582
"('pea',)","('carrot',)",0.033880903490759756,0.13680698151950718,0.018993839835728953,0.5606060606060606,4.097788390471317,0.014358695698004378,1.964508248955604,0.7824769509147831
